"State","District","Crop","Year","Season","Area","Area Units","Production","Production Units","Yield"
"Andhra Pradesh","CHITTOOR","Horse-gram","2003-04","Rabi","1942.0","Hectare","1051.0","Tonnes","0.5411946446961895"
"Andhra Pradesh","EAST GODAVARI","Horse-gram","2001-02","Rabi","1236.0","Hectare","669.0","Tonnes","0.5412621359223301"
"Andhra Pradesh","EAST GODAVARI","Horse-gram","2002-03","Kharif","59.0","Hectare","29.0","Tonnes","0.4915254237288136"
"Andhra Pradesh","EAST GODAVARI","Horse-gram","2002-03","Rabi","709.0","Hectare","262.0","Tonnes","0.3695345557122708"
"Andhra Pradesh","EAST GODAVARI","Horse-gram","2003-04","Rabi","1153.0","Hectare","624.0","Tonnes","0.5411968777103209"
"Andhra Pradesh","GUNTUR","Horse-gram","2002-03","Rabi","9.0","Hectare","3.0","Tonnes","0.3333333333333333"
"Andhra Pradesh","KADAPA","Horse-gram","2001-02","Kharif","367.0","Hectare","158.0","Tonnes","0.4305177111716621"
"Andhra Pradesh","KADAPA","Horse-gram","2001-02","Rabi","625.0","Hectare","338.0","Tonnes","0.5408"
"Andhra Pradesh","KADAPA","Horse-gram","2002-03","Kharif","243.0","Hectare","118.0","Tonnes","0.48559670781893005"
"Andhra Pradesh","KADAPA","Horse-gram","2002-03","Rabi","6017.0","Hectare","2226.0","Tonnes","0.36995180322419813"
"Andhra Pradesh","KADAPA","Horse-gram","2003-04","Kharif","180.0","Hectare","65.0","Tonnes","0.3611111111111111"
"Andhra Pradesh","KADAPA","Horse-gram","2003-04","Rabi","569.0","Hectare","308.0","Tonnes","0.5413005272407733"
"Andhra Pradesh","KARIMNAGAR","Horse-gram","2001-02","Rabi","1157.0","Hectare","382.0","Tonnes","0.33016421780466726"
"Andhra Pradesh","KARIMNAGAR","Horse-gram","2002-03","Rabi","1407.0","Hectare","179.0","Tonnes","0.12722103766879886"
"Andhra Pradesh","KARIMNAGAR","Horse-gram","2003-04","Rabi","1877.0","Hectare","612.0","Tonnes","0.32605221097496007"
"Andhra Pradesh","KHAMMAM","Horse-gram","2001-02","Rabi","559.0","Hectare","184.0","Tonnes","0.3291592128801431"
"Andhra Pradesh","KHAMMAM","Horse-gram","2002-03","Rabi","503.0","Hectare","64.0","Tonnes","0.1272365805168986"
"Andhra Pradesh","KHAMMAM","Horse-gram","2003-04","Rabi","199.0","Hectare","65.0","Tonnes","0.32663316582914576"
"Andhra Pradesh","KRISHNA","Horse-gram","2001-02","Rabi","617.0","Hectare","334.0","Tonnes","0.5413290113452188"
"Andhra Pradesh","KRISHNA","Horse-gram","2002-03","Rabi","404.0","Hectare","149.0","Tonnes","0.3688118811881188"
"Andhra Pradesh","KRISHNA","Horse-gram","2003-04","Kharif","79.0","Hectare","29.0","Tonnes","0.3670886075949367"
"Andhra Pradesh","KRISHNA","Horse-gram","2003-04","Rabi","635.0","Hectare","344.0","Tonnes","0.5417322834645669"
"Andhra Pradesh","KURNOOL","Horse-gram","2001-02","Kharif","4.0","Hectare","2.0","Tonnes","0.5"
"Andhra Pradesh","KURNOOL","Horse-gram","2001-02","Rabi","1681.0","Hectare","909.0","Tonnes","0.5407495538370017"
"Andhra Pradesh","KURNOOL","Horse-gram","2002-03","Kharif","2.0","Hectare","1.0","Tonnes","0.5"
"Andhra Pradesh","KURNOOL","Horse-gram","2002-03","Rabi","1248.0","Hectare","462.0","Tonnes","0.3701923076923077"
"Andhra Pradesh","KURNOOL","Horse-gram","2003-04","Kharif","8.0","Hectare","3.0","Tonnes","0.375"
"Andhra Pradesh","KURNOOL","Horse-gram","2003-04","Rabi","1143.0","Hectare","618.0","Tonnes","0.5406824146981627"
"Andhra Pradesh","MAHBUBNAGAR","Horse-gram","2001-02","Kharif","6024.0","Hectare","2422.0","Tonnes","0.40205843293492693"
"Andhra Pradesh","MAHBUBNAGAR","Horse-gram","2001-02","Rabi","2283.0","Hectare","753.0","Tonnes","0.32982917214191854"
"Andhra Pradesh","MAHBUBNAGAR","Horse-gram","2002-03","Kharif","5752.0","Hectare","2238.0","Tonnes","0.3890820584144645"
"Andhra Pradesh","MAHBUBNAGAR","Horse-gram","2002-03","Rabi","1621.0","Hectare","206.0","Tonnes","0.1270820481184454"
"Andhra Pradesh","MAHBUBNAGAR","Horse-gram","2003-04","Kharif","4500.0","Hectare","2147.0","Tonnes","0.4771111111111111"
"Andhra Pradesh","MAHBUBNAGAR","Horse-gram","2003-04","Rabi","1626.0","Hectare","530.0","Tonnes","0.32595325953259535"
"Andhra Pradesh","MEDAK","Horse-gram","2001-02","Kharif","80.0","Hectare","29.0","Tonnes","0.3625"
"Andhra Pradesh","MEDAK","Horse-gram","2001-02","Rabi","626.0","Hectare","207.0","Tonnes","0.3306709265175719"
"Andhra Pradesh","MEDAK","Horse-gram","2002-03","Kharif","17.0","Hectare","6.0","Tonnes","0.35294117647058826"
"Andhra Pradesh","MEDAK","Horse-gram","2002-03","Rabi","412.0","Hectare","52.0","Tonnes","0.1262135922330097"
"Andhra Pradesh","MEDAK","Horse-gram","2003-04","Rabi","639.0","Hectare","208.0","Tonnes","0.325508607198748"
"Andhra Pradesh","NALGONDA","Horse-gram","2001-02","Rabi","2275.0","Hectare","751.0","Tonnes","0.3301098901098901"
"Andhra Pradesh","NALGONDA","Horse-gram","2002-03","Rabi","2015.0","Hectare","256.0","Tonnes","0.1270471464019851"
"Andhra Pradesh","NALGONDA","Horse-gram","2003-04","Rabi","3890.0","Hectare","1268.0","Tonnes","0.32596401028277633"
"Andhra Pradesh","NIZAMABAD","Horse-gram","2001-02","Rabi","22.0","Hectare","7.0","Tonnes","0.3181818181818182"
"Andhra Pradesh","NIZAMABAD","Horse-gram","2002-03","Rabi","4.0","Hectare","1.0","Tonnes","0.25"
"Andhra Pradesh","NIZAMABAD","Horse-gram","2003-04","Rabi","318.0","Hectare","103.0","Tonnes","0.3238993710691824"
"Andhra Pradesh","PRAKASAM","Horse-gram","2001-02","Rabi","1149.0","Hectare","622.0","Tonnes","0.5413402959094865"
"Andhra Pradesh","PRAKASAM","Horse-gram","2002-03","Rabi","2105.0","Hectare","779.0","Tonnes","0.3700712589073634"
"Andhra Pradesh","PRAKASAM","Horse-gram","2003-04","Kharif","11.0","Hectare","4.0","Tonnes","0.36363636363636365"
"Andhra Pradesh","PRAKASAM","Horse-gram","2003-04","Rabi","921.0","Hectare","498.0","Tonnes","0.5407166123778502"
"Andhra Pradesh","RANGAREDDI","Horse-gram","2001-02","Kharif","1508.0","Hectare","335.0","Tonnes","0.22214854111405835"
"Andhra Pradesh","RANGAREDDI","Horse-gram","2001-02","Rabi","385.0","Hectare","127.0","Tonnes","0.32987012987012987"
"Andhra Pradesh","RANGAREDDI","Horse-gram","2002-03","Kharif","825.0","Hectare","253.0","Tonnes","0.30666666666666664"
"Andhra Pradesh","RANGAREDDI","Horse-gram","2002-03","Rabi","455.0","Hectare","58.0","Tonnes","0.12747252747252746"
"Andhra Pradesh","RANGAREDDI","Horse-gram","2003-04","Kharif","407.0","Hectare","120.0","Tonnes","0.29484029484029484"
"Andhra Pradesh","RANGAREDDI","Horse-gram","2003-04","Rabi","576.0","Hectare","188.0","Tonnes","0.3263888888888889"
"Andhra Pradesh","SPSR NELLORE","Horse-gram","2001-02","Rabi","372.0","Hectare","201.0","Tonnes","0.5403225806451613"
"Andhra Pradesh","SPSR NELLORE","Horse-gram","2002-03","Kharif","20.0","Hectare","10.0","Tonnes","0.5"
"Andhra Pradesh","SPSR NELLORE","Horse-gram","2002-03","Rabi","772.0","Hectare","286.0","Tonnes","0.3704663212435233"
"Andhra Pradesh","SPSR NELLORE","Horse-gram","2003-04","Rabi","228.0","Hectare","123.0","Tonnes","0.5394736842105263"
"Andhra Pradesh","SRIKAKULAM","Horse-gram","2001-02","Rabi","16235.0","Hectare","8962.0","Tonnes","0.5520172466892516"
"Andhra Pradesh","SRIKAKULAM","Horse-gram","2002-03","Kharif","2.0","Hectare","1.0","Tonnes","0.5"
"Andhra Pradesh","SRIKAKULAM","Horse-gram","2002-03","Rabi","13690.0","Hectare","5873.0","Tonnes","0.4289992695398101"
"Andhra Pradesh","SRIKAKULAM","Horse-gram","2003-04","Kharif","4.0","Hectare","1.0","Tonnes","0.25"
"Andhra Pradesh","SRIKAKULAM","Horse-gram","2003-04","Rabi","15016.0","Hectare","8904.0","Tonnes","0.5929675013319127"
"Andhra Pradesh","VISAKHAPATANAM","Horse-gram","2001-02","Kharif","325.0","Hectare","140.0","Tonnes","0.4307692307692308"
"Andhra Pradesh","VISAKHAPATANAM","Horse-gram","2001-02","Rabi","6235.0","Hectare","4807.0","Tonnes","0.7709703287890938"
"Andhra Pradesh","VISAKHAPATANAM","Horse-gram","2002-03","Kharif","136.0","Hectare","66.0","Tonnes","0.4852941176470588"
"Andhra Pradesh","VISAKHAPATANAM","Horse-gram","2002-03","Rabi","4916.0","Hectare","4252.0","Tonnes","0.8649308380797396"
"Andhra Pradesh","VISAKHAPATANAM","Horse-gram","2003-04","Kharif","118.0","Hectare","43.0","Tonnes","0.3644067796610169"
"Andhra Pradesh","VISAKHAPATANAM","Horse-gram","2003-04","Rabi","6132.0","Hectare","5458.0","Tonnes","0.8900848010437051"
"Andhra Pradesh","VIZIANAGARAM","Horse-gram","2001-02","Rabi","26871.0","Hectare","12925.0","Tonnes","0.48100182352722265"
"Andhra Pradesh","VIZIANAGARAM","Horse-gram","2002-03","Rabi","22581.0","Hectare","5126.0","Tonnes","0.22700500420707675"
"Andhra Pradesh","VIZIANAGARAM","Horse-gram","2003-04","Rabi","26889.0","Hectare","11616.0","Tonnes","0.43199821488340956"
"Andhra Pradesh","WARANGAL","Horse-gram","2001-02","Rabi","1190.0","Hectare","393.0","Tonnes","0.3302521008403361"
"Andhra Pradesh","WARANGAL","Horse-gram","2002-03","Rabi","870.0","Hectare","110.0","Tonnes","0.12643678160919541"
"Andhra Pradesh","WARANGAL","Horse-gram","2003-04","Rabi","644.0","Hectare","210.0","Tonnes","0.32608695652173914"
"Andhra Pradesh","WEST GODAVARI","Horse-gram","2001-02","Rabi","335.0","Hectare","181.0","Tonnes","0.5402985074626866"
"Andhra Pradesh","WEST GODAVARI","Horse-gram","2002-03","Rabi","236.0","Hectare","87.0","Tonnes","0.3686440677966102"
"Andhra Pradesh","WEST GODAVARI","Horse-gram","2003-04","Rabi","394.0","Hectare","213.0","Tonnes","0.5406091370558376"
"Andhra Pradesh","ADILABAD","Jowar","2001-02","Kharif","37111.0","Hectare","62161.0","Tonnes","1.6750020209641345"
"Andhra Pradesh","ADILABAD","Jowar","2001-02","Rabi","74174.0","Hectare","63196.0","Tonnes","0.8519966565103675"
"Andhra Pradesh","ADILABAD","Jowar","2002-03","Kharif","39286.0","Hectare","60461.0","Tonnes","1.538996080028509"
"Andhra Pradesh","ADILABAD","Jowar","2002-03","Rabi","53035.0","Hectare","23919.0","Tonnes","0.4510040539266522"
"Andhra Pradesh","ADILABAD","Jowar","2003-04","Kharif","35410.0","Hectare","51097.0","Tonnes","1.443010449025699"
"Andhra Pradesh","ADILABAD","Jowar","2003-04","Rabi","63220.0","Hectare","38438.0","Tonnes","0.6080037962670041"
"Andhra Pradesh","ANANTAPUR","Jowar","2001-02","Kharif","3900.0","Hectare","6720.0","Tonnes","1.7230769230769232"
"Andhra Pradesh","ANANTAPUR","Jowar","2001-02","Rabi","15170.0","Hectare","17446.0","Tonnes","1.1500329597890573"
"Andhra Pradesh","ANANTAPUR","Jowar","2002-03","Kharif","2906.0","Hectare","4545.0","Tonnes","1.5640055058499656"
"Andhra Pradesh","ANANTAPUR","Jowar","2002-03","Rabi","12676.0","Hectare","11497.0","Tonnes","0.906989586620385"
"Andhra Pradesh","ANANTAPUR","Jowar","2003-04","Kharif","12487.0","Hectare","30830.0","Tonnes","2.468967726435493"
"Andhra Pradesh","ANANTAPUR","Jowar","2003-04","Rabi","21391.0","Hectare","19444.0","Tonnes","0.9089804123229396"
"Andhra Pradesh","CHITTOOR","Jowar","2001-02","Kharif","2400.0","Hectare","2174.0","Tonnes","0.9058333333333334"
"Andhra Pradesh","CHITTOOR","Jowar","2001-02","Rabi","46.0","Hectare","67.0","Tonnes","1.4565217391304348"
"Andhra Pradesh","CHITTOOR","Jowar","2002-03","Kharif","1647.0","Hectare","865.0","Tonnes","0.525197328476017"
"Andhra Pradesh","CHITTOOR","Jowar","2002-03","Rabi","130.0","Hectare","155.0","Tonnes","1.1923076923076923"
"Andhra Pradesh","CHITTOOR","Jowar","2003-04","Kharif","2410.0","Hectare","2832.0","Tonnes","1.175103734439834"
"Andhra Pradesh","CHITTOOR","Jowar","2003-04","Rabi","6.0","Hectare","7.0","Tonnes","1.1666666666666667"
"Andhra Pradesh","EAST GODAVARI","Jowar","2001-02","Kharif","822.0","Hectare","470.0","Tonnes","0.5717761557177615"
"Andhra Pradesh","EAST GODAVARI","Jowar","2001-02","Rabi","22.0","Hectare","16.0","Tonnes","0.7272727272727273"
"Andhra Pradesh","EAST GODAVARI","Jowar","2002-03","Kharif","503.0","Hectare","167.0","Tonnes","0.3320079522862823"
"Andhra Pradesh","EAST GODAVARI","Jowar","2002-03","Rabi","15.0","Hectare","12.0","Tonnes","0.8"
"Andhra Pradesh","EAST GODAVARI","Jowar","2003-04","Kharif","786.0","Hectare","2325.0","Tonnes","2.9580152671755724"
"Andhra Pradesh","GUNTUR","Jowar","2001-02","Kharif","184.0","Hectare","105.0","Tonnes","0.5706521739130435"
"Andhra Pradesh","GUNTUR","Jowar","2001-02","Rabi","398.0","Hectare","294.0","Tonnes","0.7386934673366834"
"Andhra Pradesh","GUNTUR","Jowar","2002-03","Kharif","76.0","Hectare","25.0","Tonnes","0.32894736842105265"
"Andhra Pradesh","GUNTUR","Jowar","2002-03","Rabi","8638.0","Hectare","6928.0","Tonnes","0.8020375086825654"
"Andhra Pradesh","GUNTUR","Jowar","2003-04","Kharif","9610.0","Hectare","28426.0","Tonnes","2.9579604578563994"
"Andhra Pradesh","GUNTUR","Jowar","2003-04","Rabi","22318.0","Hectare","41913.0","Tonnes","1.8779908593960033"
"Andhra Pradesh","KADAPA","Jowar","2001-02","Kharif","2781.0","Hectare","1460.0","Tonnes","0.5249910104279036"
"Andhra Pradesh","KADAPA","Jowar","2001-02","Rabi","1513.0","Hectare","690.0","Tonnes","0.4560475875743556"
"Andhra Pradesh","KADAPA","Jowar","2002-03","Kharif","882.0","Hectare","361.0","Tonnes","0.409297052154195"
"Andhra Pradesh","KADAPA","Jowar","2002-03","Rabi","11086.0","Hectare","2783.0","Tonnes","0.25103734439834025"
"Andhra Pradesh","KADAPA","Jowar","2003-04","Kharif","4190.0","Hectare","997.0","Tonnes","0.2379474940334129"
"Andhra Pradesh","KADAPA","Jowar","2003-04","Rabi","7389.0","Hectare","3665.0","Tonnes","0.496007578833401"
"Andhra Pradesh","KARIMNAGAR","Jowar","2001-02","Kharif","1054.0","Hectare","1011.0","Tonnes","0.959203036053131"
"Andhra Pradesh","KARIMNAGAR","Jowar","2001-02","Rabi","1070.0","Hectare","1036.0","Tonnes","0.9682242990654205"
"Andhra Pradesh","KARIMNAGAR","Jowar","2002-03","Kharif","229.0","Hectare","225.0","Tonnes","0.982532751091703"
"Andhra Pradesh","KARIMNAGAR","Jowar","2002-03","Rabi","1554.0","Hectare","1248.0","Tonnes","0.803088803088803"
"Andhra Pradesh","KARIMNAGAR","Jowar","2003-04","Kharif","1044.0","Hectare","955.0","Tonnes","0.9147509578544061"
"Andhra Pradesh","KARIMNAGAR","Jowar","2003-04","Rabi","1023.0","Hectare","948.0","Tonnes","0.9266862170087976"
"Andhra Pradesh","KHAMMAM","Jowar","2001-02","Kharif","2753.0","Hectare","3438.0","Tonnes","1.2488194696694515"
"Andhra Pradesh","KHAMMAM","Jowar","2001-02","Rabi","12191.0","Hectare","8375.0","Tonnes","0.6869821999835944"
"Andhra Pradesh","KHAMMAM","Jowar","2002-03","Kharif","1908.0","Hectare","1731.0","Tonnes","0.9072327044025157"
"Andhra Pradesh","KHAMMAM","Jowar","2002-03","Rabi","7446.0","Hectare","4824.0","Tonnes","0.6478646253021757"
"Andhra Pradesh","KHAMMAM","Jowar","2003-04","Kharif","2063.0","Hectare","1345.0","Tonnes","0.6519631604459525"
"Andhra Pradesh","KHAMMAM","Jowar","2003-04","Rabi","9879.0","Hectare","13396.0","Tonnes","1.3560076930863447"
"Andhra Pradesh","KRISHNA","Jowar","2001-02","Kharif","123.0","Hectare","70.0","Tonnes","0.5691056910569106"
"Andhra Pradesh","KRISHNA","Jowar","2001-02","Rabi","730.0","Hectare","539.0","Tonnes","0.7383561643835617"
"Andhra Pradesh","KRISHNA","Jowar","2002-03","Kharif","81.0","Hectare","27.0","Tonnes","0.3333333333333333"
"Andhra Pradesh","KRISHNA","Jowar","2002-03","Rabi","866.0","Hectare","695.0","Tonnes","0.8025404157043879"
"Andhra Pradesh","KRISHNA","Jowar","2003-04","Kharif","147.0","Hectare","435.0","Tonnes","2.9591836734693877"
"Andhra Pradesh","KRISHNA","Jowar","2003-04","Rabi","1209.0","Hectare","2271.0","Tonnes","1.8784119106699753"
"Andhra Pradesh","KURNOOL","Jowar","2001-02","Kharif","6577.0","Hectare","6939.0","Tonnes","1.0550402919264101"
"Andhra Pradesh","KURNOOL","Jowar","2001-02","Rabi","86436.0","Hectare","131901.0","Tonnes","1.5259961127308066"
"Andhra Pradesh","KURNOOL","Jowar","2002-03","Kharif","2112.0","Hectare","2063.0","Tonnes","0.9767992424242424"
"Andhra Pradesh","KURNOOL","Jowar","2002-03","Rabi","100721.0","Hectare","135067.0","Tonnes","1.3410013800498406"
"Andhra Pradesh","KURNOOL","Jowar","2003-04","Kharif","13685.0","Hectare","62280.0","Tonnes","4.550968213372306"
"Andhra Pradesh","KURNOOL","Jowar","2003-04","Rabi","104115.0","Hectare","139618.0","Tonnes","1.340997934975748"
"Andhra Pradesh","MAHBUBNAGAR","Jowar","2001-02","Kharif","127781.0","Hectare","90597.0","Tonnes","0.7090021208160837"
"Andhra Pradesh","MAHBUBNAGAR","Jowar","2001-02","Rabi","45284.0","Hectare","28076.0","Tonnes","0.6199982333716103"
"Andhra Pradesh","MAHBUBNAGAR","Jowar","2002-03","Kharif","107386.0","Hectare","98903.0","Tonnes","0.9210046002272178"
"Andhra Pradesh","MAHBUBNAGAR","Jowar","2002-03","Rabi","38754.0","Hectare","33406.0","Tonnes","0.8620013417969759"
"Andhra Pradesh","MAHBUBNAGAR","Jowar","2003-04","Kharif","95272.0","Hectare","72311.0","Tonnes","0.7589952976740281"
"Andhra Pradesh","MAHBUBNAGAR","Jowar","2003-04","Rabi","32322.0","Hectare","19458.0","Tonnes","0.6020048264340078"
"Andhra Pradesh","MEDAK","Jowar","2001-02","Kharif","45857.0","Hectare","50626.0","Tonnes","1.103997208714046"
"Andhra Pradesh","MEDAK","Jowar","2001-02","Rabi","37449.0","Hectare","28124.0","Tonnes","0.750994686106438"
"Andhra Pradesh","MEDAK","Jowar","2002-03","Kharif","39541.0","Hectare","33096.0","Tonnes","0.837004628107534"
"Andhra Pradesh","MEDAK","Jowar","2002-03","Rabi","43035.0","Hectare","44844.0","Tonnes","1.0420355524573022"
"Andhra Pradesh","MEDAK","Jowar","2003-04","Kharif","36256.0","Hectare","29730.0","Tonnes","0.8200022065313327"
"Andhra Pradesh","MEDAK","Jowar","2003-04","Rabi","35786.0","Hectare","27806.0","Tonnes","0.7770077684010507"
"Andhra Pradesh","NALGONDA","Jowar","2001-02","Kharif","8262.0","Hectare","2809.0","Tonnes","0.3399903171145001"
"Andhra Pradesh","NALGONDA","Jowar","2001-02","Rabi","9132.0","Hectare","5927.0","Tonnes","0.649036355672361"
"Andhra Pradesh","NALGONDA","Jowar","2002-03","Kharif","14531.0","Hectare","3575.0","Tonnes","0.24602573807721423"
"Andhra Pradesh","NALGONDA","Jowar","2002-03","Rabi","13477.0","Hectare","5364.0","Tonnes","0.39801142687541735"
"Andhra Pradesh","NALGONDA","Jowar","2003-04","Kharif","13740.0","Hectare","6966.0","Tonnes","0.5069868995633188"
"Andhra Pradesh","NALGONDA","Jowar","2003-04","Rabi","14997.0","Hectare","10423.0","Tonnes","0.6950056678002268"
"Andhra Pradesh","NIZAMABAD","Jowar","2001-02","Kharif","3594.0","Hectare","2696.0","Tonnes","0.7501391207568169"
"Andhra Pradesh","NIZAMABAD","Jowar","2001-02","Rabi","22484.0","Hectare","31275.0","Tonnes","1.3909891478384628"
"Andhra Pradesh","NIZAMABAD","Jowar","2002-03","Kharif","3354.0","Hectare","2573.0","Tonnes","0.7671437090041742"
"Andhra Pradesh","NIZAMABAD","Jowar","2002-03","Rabi","24024.0","Hectare","43147.0","Tonnes","1.795995670995671"
"Andhra Pradesh","NIZAMABAD","Jowar","2003-04","Kharif","2731.0","Hectare","2502.0","Tonnes","0.916147931160747"
"Andhra Pradesh","NIZAMABAD","Jowar","2003-04","Rabi","20010.0","Hectare","31996.0","Tonnes","1.599000499750125"
"Andhra Pradesh","PRAKASAM","Jowar","2001-02","Kharif","1570.0","Hectare","898.0","Tonnes","0.5719745222929936"
"Andhra Pradesh","PRAKASAM","Jowar","2001-02","Rabi","3490.0","Hectare","2576.0","Tonnes","0.73810888252149"
"Andhra Pradesh","PRAKASAM","Jowar","2002-03","Kharif","792.0","Hectare","264.0","Tonnes","0.3333333333333333"
"Andhra Pradesh","PRAKASAM","Jowar","2002-03","Rabi","8739.0","Hectare","7009.0","Tonnes","0.8020368463210894"
"Andhra Pradesh","PRAKASAM","Jowar","2003-04","Kharif","2293.0","Hectare","6783.0","Tonnes","2.958133449629307"
"Andhra Pradesh","PRAKASAM","Jowar","2003-04","Rabi","9566.0","Hectare","17965.0","Tonnes","1.8780054359188794"
"Andhra Pradesh","RANGAREDDI","Jowar","2001-02","Kharif","51182.0","Hectare","52769.0","Tonnes","1.0310069946465554"
"Andhra Pradesh","RANGAREDDI","Jowar","2001-02","Rabi","18519.0","Hectare","20223.0","Tonnes","1.0920136076462013"
"Andhra Pradesh","RANGAREDDI","Jowar","2002-03","Kharif","44342.0","Hectare","46249.0","Tonnes","1.0430066302828018"
"Andhra Pradesh","RANGAREDDI","Jowar","2002-03","Rabi","16922.0","Hectare","16770.0","Tonnes","0.9910176102115589"
"Andhra Pradesh","RANGAREDDI","Jowar","2003-04","Kharif","38982.0","Hectare","41126.0","Tonnes","1.0549997434713458"
"Andhra Pradesh","RANGAREDDI","Jowar","2003-04","Rabi","18111.0","Hectare","17006.0","Tonnes","0.9389873557506487"
"Andhra Pradesh","SPSR NELLORE","Jowar","2001-02","Rabi","162.0","Hectare","120.0","Tonnes","0.7407407407407407"
"Andhra Pradesh","SPSR NELLORE","Jowar","2002-03","Kharif","10.0","Hectare","3.0","Tonnes","0.3"
"Andhra Pradesh","SPSR NELLORE","Jowar","2002-03","Rabi","283.0","Hectare","227.0","Tonnes","0.8021201413427562"
"Andhra Pradesh","SPSR NELLORE","Jowar","2003-04","Kharif","3.0","Hectare","9.0","Tonnes","3.0"
"Andhra Pradesh","SPSR NELLORE","Jowar","2003-04","Rabi","104.0","Hectare","195.0","Tonnes","1.875"
"Andhra Pradesh","SRIKAKULAM","Jowar","2001-02","Kharif","184.0","Hectare","105.0","Tonnes","0.5706521739130435"
"Andhra Pradesh","SRIKAKULAM","Jowar","2001-02","Rabi","109.0","Hectare","80.0","Tonnes","0.7339449541284404"
"Andhra Pradesh","SRIKAKULAM","Jowar","2002-03","Kharif","318.0","Hectare","106.0","Tonnes","0.3333333333333333"
"Andhra Pradesh","SRIKAKULAM","Jowar","2002-03","Rabi","40.0","Hectare","32.0","Tonnes","0.8"
"Andhra Pradesh","SRIKAKULAM","Jowar","2003-04","Kharif","376.0","Hectare","1112.0","Tonnes","2.9574468085106385"
"Andhra Pradesh","SRIKAKULAM","Jowar","2003-04","Rabi","27.0","Hectare","51.0","Tonnes","1.8888888888888888"
"Andhra Pradesh","VISAKHAPATANAM","Jowar","2001-02","Kharif","1442.0","Hectare","825.0","Tonnes","0.5721220527045769"
"Andhra Pradesh","VISAKHAPATANAM","Jowar","2001-02","Rabi","94.0","Hectare","69.0","Tonnes","0.7340425531914894"
"Andhra Pradesh","VISAKHAPATANAM","Jowar","2002-03","Kharif","1537.0","Hectare","512.0","Tonnes","0.33311646063760575"
"Andhra Pradesh","VISAKHAPATANAM","Jowar","2002-03","Rabi","363.0","Hectare","291.0","Tonnes","0.8016528925619835"
"Andhra Pradesh","VISAKHAPATANAM","Jowar","2003-04","Kharif","1175.0","Hectare","3476.0","Tonnes","2.9582978723404256"
"Andhra Pradesh","VISAKHAPATANAM","Jowar","2003-04","Rabi","199.0","Hectare","374.0","Tonnes","1.879396984924623"
"Andhra Pradesh","VIZIANAGARAM","Jowar","2001-02","Kharif","376.0","Hectare","215.0","Tonnes","0.5718085106382979"
"Andhra Pradesh","VIZIANAGARAM","Jowar","2001-02","Rabi","56.0","Hectare","41.0","Tonnes","0.7321428571428571"
"Andhra Pradesh","VIZIANAGARAM","Jowar","2002-03","Kharif","376.0","Hectare","125.0","Tonnes","0.3324468085106383"
"Andhra Pradesh","VIZIANAGARAM","Jowar","2002-03","Rabi","20.0","Hectare","16.0","Tonnes","0.8"
"Andhra Pradesh","VIZIANAGARAM","Jowar","2003-04","Kharif","256.0","Hectare","757.0","Tonnes","2.95703125"
"Andhra Pradesh","VIZIANAGARAM","Jowar","2003-04","Rabi","38.0","Hectare","71.0","Tonnes","1.868421052631579"
"Andhra Pradesh","WARANGAL","Jowar","2001-02","Kharif","1029.0","Hectare","1037.0","Tonnes","1.0077745383867833"
"Andhra Pradesh","WARANGAL","Jowar","2001-02","Rabi","10356.0","Hectare","5830.0","Tonnes","0.5629586713016609"
"Andhra Pradesh","WARANGAL","Jowar","2002-03","Kharif","1377.0","Hectare","1205.0","Tonnes","0.8750907770515614"
"Andhra Pradesh","WARANGAL","Jowar","2002-03","Rabi","16526.0","Hectare","10560.0","Tonnes","0.6389931017790149"
"Andhra Pradesh","WARANGAL","Jowar","2003-04","Kharif","1598.0","Hectare","1679.0","Tonnes","1.0506883604505632"
"Andhra Pradesh","WARANGAL","Jowar","2003-04","Rabi","10343.0","Hectare","5616.0","Tonnes","0.5429759257468819"
"Andhra Pradesh","WEST GODAVARI","Jowar","2001-02","Kharif","324.0","Hectare","185.0","Tonnes","0.5709876543209876"
"Andhra Pradesh","WEST GODAVARI","Jowar","2001-02","Rabi","1138.0","Hectare","840.0","Tonnes","0.7381370826010545"
"Andhra Pradesh","WEST GODAVARI","Jowar","2002-03","Kharif","479.0","Hectare","160.0","Tonnes","0.33402922755741127"
"Andhra Pradesh","WEST GODAVARI","Jowar","2002-03","Rabi","1823.0","Hectare","1461.0","Tonnes","0.8014262205156336"
"Andhra Pradesh","WEST GODAVARI","Jowar","2003-04","Kharif","430.0","Hectare","1272.0","Tonnes","2.958139534883721"
"Andhra Pradesh","WEST GODAVARI","Jowar","2003-04","Rabi","1182.0","Hectare","2220.0","Tonnes","1.8781725888324874"
"Andhra Pradesh","ADILABAD","Linseed","2001-02","Rabi","4638.0","Hectare","1248.0","Tonnes","0.2690815006468305"
"Andhra Pradesh","ADILABAD","Linseed","2002-03","Rabi","2966.0","Hectare","902.0","Tonnes","0.30411328388401887"
"Andhra Pradesh","ADILABAD","Linseed","2003-04","Rabi","3876.0","Hectare","1074.0","Tonnes","0.2770897832817337"
"Andhra Pradesh","ANANTAPUR","Linseed","2001-02","Rabi","5.0","Hectare","1.0","Tonnes","0.2"
"Andhra Pradesh","ANANTAPUR","Linseed","2002-03","Rabi","8.0","Hectare","2.0","Tonnes","0.25"
"Andhra Pradesh","ANANTAPUR","Linseed","2003-04","Rabi","7.0","Hectare","2.0","Tonnes","0.2857142857142857"
